[2026-04-19T19:01:29.987+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2026-04-19T19:01:30.007+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: load_dag.read_fs manual__2026-04-19T19:01:23.873358+00:00 [queued]>
[2026-04-19T19:01:30.021+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: load_dag.read_fs manual__2026-04-19T19:01:23.873358+00:00 [queued]>
[2026-04-19T19:01:30.022+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 1
[2026-04-19T19:01:30.077+0000] {taskinstance.py:2888} INFO - Executing <Task(PythonOperator): read_fs> on 2026-04-19 19:01:23.873358+00:00
[2026-04-19T19:01:30.085+0000] {standard_task_runner.py:72} INFO - Started process 69595 to run task
[2026-04-19T19:01:30.090+0000] {standard_task_runner.py:104} INFO - Running: ['airflow', 'tasks', 'run', 'load_dag', 'read_fs', 'manual__2026-04-19T19:01:23.873358+00:00', '--job-id', '113', '--raw', '--subdir', 'DAGS_FOLDER/load_dag.py', '--cfg-path', '/tmp/tmpqg57ip32']
[2026-04-19T19:01:30.090+0000] {standard_task_runner.py:105} INFO - Job 113: Subtask read_fs
[2026-04-19T19:01:30.128+0000] {task_command.py:467} INFO - Running <TaskInstance: load_dag.read_fs manual__2026-04-19T19:01:23.873358+00:00 [running]> on host codespaces-1f1e00
[2026-04-19T19:01:30.230+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='load_dag' AIRFLOW_CTX_TASK_ID='read_fs' AIRFLOW_CTX_EXECUTION_DATE='2026-04-19T19:01:23.873358+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-04-19T19:01:23.873358+00:00'
[2026-04-19T19:01:30.231+0000] {logging_mixin.py:190} INFO - Task instance is in running state
[2026-04-19T19:01:30.232+0000] {logging_mixin.py:190} INFO -  Previous state of the Task instance: queued
[2026-04-19T19:01:30.232+0000] {logging_mixin.py:190} INFO - Current task name:read_fs state:running start_date:2026-04-19 19:01:30.009272+00:00
[2026-04-19T19:01:30.232+0000] {logging_mixin.py:190} INFO - Dag name:load_dag and current dag run status:running
[2026-04-19T19:01:30.233+0000] {taskinstance.py:731} INFO - ::endgroup::
[2026-04-19T19:01:30.233+0000] {logging_mixin.py:190} INFO - Arquivo, text, linha0
[2026-04-19T19:01:30.234+0000] {logging_mixin.py:190} INFO - Arquivo, text, linha1
[2026-04-19T19:01:30.234+0000] {logging_mixin.py:190} INFO - Arquivo, text, linha2
[2026-04-19T19:01:30.234+0000] {logging_mixin.py:190} INFO - Arquivo, text, linha3
[2026-04-19T19:01:30.235+0000] {logging_mixin.py:190} INFO - Arquivo, text, linha4
[2026-04-19T19:01:30.235+0000] {logging_mixin.py:190} INFO - Arquivo, text, linha5
[2026-04-19T19:01:30.235+0000] {logging_mixin.py:190} INFO - Arquivo, text, linha6
[2026-04-19T19:01:30.236+0000] {logging_mixin.py:190} INFO - Arquivo, text, linha7
[2026-04-19T19:01:30.236+0000] {logging_mixin.py:190} INFO - Arquivo, text, linha8
[2026-04-19T19:01:30.236+0000] {logging_mixin.py:190} INFO - Arquivo, text, linha9
[2026-04-19T19:01:30.236+0000] {logging_mixin.py:190} INFO - Arquivo, text, linha10
[2026-04-19T19:01:30.236+0000] {logging_mixin.py:190} INFO - Arquivo, text, linha11
[2026-04-19T19:01:30.237+0000] {logging_mixin.py:190} INFO - Arquivo, text, linha12
[2026-04-19T19:01:30.237+0000] {logging_mixin.py:190} INFO - Arquivo, text, linha13
[2026-04-19T19:01:30.237+0000] {logging_mixin.py:190} INFO - Arquivo, text, linha14
[2026-04-19T19:01:30.238+0000] {logging_mixin.py:190} INFO - Arquivo, text, linha15
[2026-04-19T19:01:30.238+0000] {logging_mixin.py:190} INFO - Arquivo, text, linha16
[2026-04-19T19:01:30.238+0000] {logging_mixin.py:190} INFO - Arquivo, text, linha17
[2026-04-19T19:01:30.238+0000] {logging_mixin.py:190} INFO - Arquivo, text, linha18
[2026-04-19T19:01:30.239+0000] {logging_mixin.py:190} INFO - Arquivo, text, linha19
[2026-04-19T19:01:30.239+0000] {logging_mixin.py:190} INFO - Arquivo, text, linha20
[2026-04-19T19:01:30.239+0000] {logging_mixin.py:190} INFO - Arquivo, text, linha21
[2026-04-19T19:01:30.240+0000] {logging_mixin.py:190} INFO - Arquivo, text, linha22
[2026-04-19T19:01:30.240+0000] {logging_mixin.py:190} INFO - Arquivo, text, linha23
[2026-04-19T19:01:30.240+0000] {logging_mixin.py:190} INFO - Arquivo, text, linha24
[2026-04-19T19:01:30.240+0000] {logging_mixin.py:190} INFO - Arquivo, text, linha25
[2026-04-19T19:01:30.240+0000] {logging_mixin.py:190} INFO - Arquivo, text, linha26
